sample_id,project,pr_or_cve,category,oracle_type,year,source,test_source,primary_diff_file,github_repo,reference_url,trigger_mode
argo-cd-CVE-2025-55191,argo-cd,CVE-2025-55191,data_race,RACE,2025,cve,PR_bundled,util/db/repository_secrets.go,argoproj/argo-cd,https://github.com/advisories/GHSA-g88p-r42r-ppp9,replicated
argo-workflows-CVE-2024-47827,argo-workflows,CVE-2024-47827,data_race,RACE,2024,cve,synthesized,workflow/metrics/metrics_k8s_request.go,argoproj/argo-workflows,https://github.com/advisories/GHSA-ghjw-32xw-ffwr,replicated
cockroach-123215,cockroach,123215,data_race,RACE,2024,pr,synthesized,pkg/kv/kvserver/store.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/123215,replicated
cockroach-130031,cockroach,130031,data_race,RACE,2024,pr,PR_bundled,pkg/server/diagnostics/reporter.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/130031,replicated
cockroach-130032,cockroach,130032,data_race,RACE,2024,pr,PR_bundled,pkg/server/diagnostics/reporter.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/130032,replicated
cockroach-130033,cockroach,130033,data_race,RACE,2024,pr,PR_bundled,pkg/server/diagnostics/reporter.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/130033,replicated
cockroach-130092,cockroach,130092,special_library,RACE,2024,pr,synthesized,pkg/server/license/enforcer.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/130092,replicated
cockroach-130093,cockroach,130093,special_library,RACE,2024,pr,synthesized,pkg/server/license/enforcer.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/130093,replicated
cockroach-130094,cockroach,130094,special_library,RACE,2024,pr,synthesized,pkg/server/license/enforcer.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/130094,replicated
cockroach-130095,cockroach,130095,special_library,RACE,2024,pr,synthesized,pkg/server/license/enforcer.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/130095,replicated
cockroach-131292,cockroach,131292,data_race,RACE,2024,pr,synthesized,pkg/util/admission/work_queue.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/131292,replicated
cockroach-131293,cockroach,131293,data_race,RACE,2024,pr,synthesized,pkg/util/admission/work_queue.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/131293,replicated
cockroach-144073,cockroach,144073,data_race,RACE,2025,pr,synthesized,pkg/sql/catalog/lease/descriptor_state.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/144073,replicated
cockroach-149448,cockroach,149448,order_violation,RACE,2025,pr,synthesized,pkg/roachprod/ui/spinner.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/149448,replicated
cockroach-156275,cockroach,156275,data_race,RACE,2025,pr,synthesized,pkg/sql/catalog/lease/lease.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/156275,replicated
cockroach-159666,cockroach,159666,order_violation,RACE,2025,pr,synthesized,pkg/server/apiinternal/api_internal.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/159666,replicated
cockroach-162460,cockroach,162460,data_race,RACE,2026,pr,synthesized,pkg/sql/distsql_physical_planner.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/162460,replicated
cockroach-61854,cockroach,61854,data_race,RACE,2021,pr,synthesized,pkg/util/timeutil/stopwatch.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/61854,replicated
cockroach-65339,cockroach,65339,data_race,RACE,2021,pr,synthesized,pkg/util/tracing/crdbspan.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/65339,replicated
cockroach-67006,cockroach,67006,data_race,RACE,2021,pr,PR_bundled,pkg/kv/kvserver/scanner.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/67006,replicated
cockroach-69290,cockroach,69290,data_race,RACE,2021,pr,synthesized,pkg/sql/sqlliveness/slinstance/slinstance.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/69290,replicated
cockroach-69538,cockroach,69538,special_library,RACE,2021,pr,synthesized,pkg/util/metric/registry.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/69538,replicated
cockroach-88279,cockroach,88279,data_race,RACE,2022,pr,synthesized,pkg/util/admission/elastic_cpu_granter.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/88279,replicated
cockroach-97305,cockroach,97305,data_race,RACE,2023,pr,synthesized,pkg/sql/sqlstats/insights/detector.go,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach/pull/97305,replicated
consul-1158,consul,1158,data_race,RACE,2015,pr,synthesized,command/lock.go,hashicorp/consul,https://github.com/hashicorp/consul/pull/1158,replicated
consul-1214,consul,1214,data_race,RACE,2015,pr,synthesized,command/lock.go,hashicorp/consul,https://github.com/hashicorp/consul/pull/1214,replicated
consul-2262,consul,2262,data_race,RACE,2016,pr,synthesized,command/agent/gated_writer.go,hashicorp/consul,https://github.com/hashicorp/consul/pull/2262,in_place
consul-3162,consul,3162,data_race,RACE,2017,pr,synthesized,agent/agent.go,hashicorp/consul,https://github.com/hashicorp/consul/pull/3162,replicated
consul-3163,consul,3163,data_race,RACE,2017,pr,synthesized,agent/agent.go,hashicorp/consul,https://github.com/hashicorp/consul/pull/3163,replicated
consul-4216,consul,4216,data_race,RACE,2018,pr,synthesized,agent/consul/client.go,hashicorp/consul,https://github.com/hashicorp/consul/pull/4216,replicated
consul-499,consul,499,data_race,RACE,2014,pr,synthesized,consul/pool.go,hashicorp/consul,https://github.com/hashicorp/consul/pull/499,replicated
consul-7567,consul,7567,data_race,RACE,2020,pr,synthesized,sdk/freeport/freeport.go,hashicorp/consul,https://github.com/hashicorp/consul/pull/7567,in_place
dns-1281,dns,1281,data_race,RACE,2021,pr,synthesized,client.go,miekg/dns,https://github.com/miekg/dns/pull/1281,replicated
dns-459,dns,459,data_race,RACE,2017,pr,synthesized,client.go,miekg/dns,https://github.com/miekg/dns/pull/459,in_place
dns-656,dns,656,data_race,RACE,2018,pr,synthesized,client.go,miekg/dns,https://github.com/miekg/dns/pull/656,in_place
dns-780,dns,780,data_race,RACE,2018,pr,synthesized,server.go,miekg/dns,https://github.com/miekg/dns/pull/780,replicated
emp3r0r-540,emp3r0r,540,data_race,RACE,2026,pr,synthesized,core/internal/cc/server/handler_messagetun.go,jm33-m0/emp3r0r,https://github.com/jm33-m0/emp3r0r/pull/540,replicated
